Sensor1,77,79
Sensor1,86,88
Sensor1,62,71
Sensor1,63,65
Sensor0,72,88
Sensor2,67,67
Sensor2,62,69
Sensor1,29,44
Sensor0,69,91
Sensor1,11,85
Sensor0,21,85
Sensor1,98,98
Sensor0,13,53
Sensor2,56,73
Sensor2,96,97
Sensor0,84,91
Sensor2,46,85
Sensor2,24,75
Sensor0,14,63
Sensor2,43,84
Sensor0,76,78
Sensor0,3,85
Sensor1,32,48
Sensor0,39,99
Sensor0,94,99
Sensor1,34,74
Sensor0,97,99
Sensor0,52,72
Sensor2,86,99
Sensor2,44,87
Sensor0,31,71
Sensor2,81,91
Sensor1,67,83
Sensor0,86,93
Sensor2,19,84
Sensor0,32,53
Sensor2,70,88
Sensor2,40,49
Sensor2,18,89
Sensor0,21,99
Sensor1,64,96
Sensor2,93,99
Sensor1,24,90
Sensor2,43,70
Sensor1,59,90
Sensor2,37,92
Sensor2,74,89
Sensor1,29,62
Sensor1,18,50
Sensor0,28,37
Sensor1,43,80
Sensor2,6,10
Sensor1,28,28
Sensor0,17,62
Sensor0,70,93
Sensor2,72,73
Sensor0,5,29
Sensor1,69,79
Sensor2,97,97
Sensor1,48,51
Sensor0,99,99
Sensor2,40,62
Sensor1,5,71
Sensor0,78,93
Sensor2,44,86
Sensor2,8,84
Sensor2,24,57
Sensor2,0,36
Sensor2,79,89
Sensor2,73,99
Sensor1,33,72
Sensor0,99,99
Sensor1,59,64
Sensor0,90,95
Sensor2,84,96
Sensor2,76,82
Sensor1,45,81
Sensor0,87,88
Sensor1,59,90
Sensor2,42,87
Sensor0,13,40
Sensor1,19,32
Sensor2,39,78
Sensor2,5,58
Sensor2,84,86
Sensor1,22,33
Sensor1,30,94
Sensor0,72,82
Sensor0,22,23
Sensor2,98,99
Sensor2,24,58
Sensor0,19,65
Sensor1,94,98
Sensor2,73,90
Sensor1,60,82
Sensor1,93,97
Sensor1,4,89
Sensor2,26,37
Sensor1,2,4
Sensor1,42,68
asfkhagflajsf
 
asfa,0,5000
sensor0,676765,5665
Sensor0,100,1
Sensor0,1,1
Sensor0,100100
Sensor0,99101
Sensor0,100101
,,
