46,46,46,1
46,46,46,2
44.5714,40,49,42
40.5,40,41,2
BAD QUERY
BAD QUERY
47,47,47,1
44.8333,40,49,18
43.8095,40,48,21
44.6364,40,49,11
44.2143,40,49,14
44.9375,40,49,16
43.8,42,49,5
43,43,43,1
44.1786,40,49,28
BAD QUERY
43.95,40,49,20
43.7143,40,49,7
44.1538,41,49,13
45,41,49,10
BAD QUERY
45.2857,40,49,14
43.1667,40,49,12
45.8333,41,49,6
44.7674,40,49,43
44.0667,40,49,30
44.8125,40,49,32
BAD QUERY
45.1429,40,49,14
45.3333,41,49,12
44.2222,41,48,9
44.5,43,46,2
42.8889,40,47,18
44.7241,40,49,29
41,41,41,1
47.1667,40,49,6
44.3125,40,49,16
44.2308,40,49,26
43.9,41,46,10
44.8571,40,49,28
BAD QUERY
43.9231,40,49,26
46,43,49,2
47.5,46,49,2
43.6,41,48,5
44,41,46,6
44.2,40,49,5
45.1667,40,49,12
44.7838,40,49,37
44.54,40,49,50
BAD QUERY
45,44,46,2
BAD QUERY
43.5556,41,49,9
44.6667,41,49,18
43.4,40,49,10
44.5652,40,49,23
BAD QUERY
44.7241,40,49,29
44.8333,40,49,6
BAD QUERY
BAD QUERY
44,43,45,2
NO DATA
NO DATA
44.325,40,49,40
44.1579,40,49,38
44.6,41,48,5
44.5294,40,49,34
44.1,41,48,10
45.2917,41,49,24
44.2857,40,49,14
43.8571,40,47,7
44,40,49,4
44.4,41,49,5
45,41,49,10
44.5,42,47,6
46.6,43,49,5
45,45,45,1
45.4444,40,49,9
43,41,46,5
BAD QUERY
43.3333,41,46,3
44.6667,42,46,3
47.3333,47,48,3
46.3333,42,49,3
44.6667,40,49,27
44.3684,40,49,19
45.7143,43,49,7
46,46,46,1
44.6596,40,49,47
46.3333,42,49,3
44.931,40,49,29
45,42,49,3
BAD QUERY
45.25,40,49,24
BAD QUERY
45.2857,40,49,7
BAD QUERY
43.8333,41,46,6
BAD QUERY
45.1,40,49,10
44.6667,44,46,3
BAD QUERY
44.2222,40,49,18
45.4348,40,49,23
44.2162,40,49,37
BAD QUERY
45,42,47,3
44.1026,40,49,39
44,42,46,2
44.7778,40,49,27
44.5714,40,49,14
44.0833,41,49,12
44.1579,40,49,38
BAD QUERY
BAD QUERY
45,45,45,1
44.0286,40,49,35
42.625,40,46,8
44.1786,40,49,28
44.5429,40,49,35
46,46,46,1
47.1667,40,49,6
44.5667,40,49,30
44.2143,40,49,28
44.9355,40,49,31
44.4444,41,48,9
45.75,40,49,12
44.4286,41,48,14
44.2273,40,49,22
41,41,41,1
45.5714,41,49,7
42.3333,40,44,3
44,40,49,34
44.8049,40,49,41
45,44,47,3
44.7143,40,49,14
46,46,46,1
44.5405,40,49,37
44.5455,40,49,22
44.7097,40,49,31
BAD QUERY
41,41,41,1
BAD QUERY
44.1304,40,49,23
44.2414,40,49,29
43.1538,40,49,13
44.5455,40,49,33
43.9048,40,49,21
46,46,46,1
43.8,42,49,5
44,43,45,3
44.6333,40,49,30
45,40,49,15
44,40,49,29
45.8,40,49,10
43.2667,40,49,15
46.6,44,49,5
44.1538,40,49,13
44.5532,40,49,47
42.8,40,46,5
43.75,40,49,24
43.5556,40,49,9
45.3333,40,49,12
BAD QUERY
42.3333,40,46,9
45,42,49,5
44.75,41,49,16
BAD QUERY
44.4889,40,49,45
43.9231,41,46,13
45.1667,40,49,6
BAD QUERY
45.5,42,49,2
44.5714,41,49,7
41,41,41,1
44.4167,40,49,36
44.3636,41,48,11
44,40,49,11
47,47,47,1
44.75,40,49,12
44.5143,40,49,35
44.8,41,48,15
44.0909,40,49,22
44,42,46,4
45.5,43,48,8
44,40,49,12
BAD QUERY
44.4286,40,49,7
43.8,41,49,20
45.5,42,49,2
44.5,42,49,6
44.5926,40,49,27
44.5,41,48,2
44.32,40,49,25
44.25,40,49,20
44.4231,40,49,26
43.8,40,49,5
44.5,40,48,4
43.8889,41,46,9
44.4211,40,49,19
43.6667,41,46,6
48,48,48,1
44.25,40,49,20
45.5,43,48,8
44,44,44,1
47,47,47,1
43.625,41,47,8
44.25,42,49,4
44.2273,40,49,22
44.1481,40,49,27
BAD QUERY
46.5,44,49,2
45.2381,41,49,21
44,40,48,14
45,41,49,8
44.2778,40,49,18
43,43,43,1
44.5,42,49,6
44.7333,41,49,15
BAD QUERY
45.2273,40,49,22
44.6053,40,49,38
49,49,49,1
43.6667,41,49,9
43.75,41,46,4
44.2973,40,49,37
BAD QUERY
43.1667,40,46,6
45.1429,40,49,7
44.2632,40,49,19
44.25,42,49,4
44.65,40,49,20
44.4167,40,49,36
43.8125,41,49,16
45.1429,40,49,7
44.4286,40,49,14
44.5,43,46,2
BAD QUERY
BAD QUERY
46.25,40,49,8
48,47,49,3
44.1795,40,49,39
43.5714,41,46,7
47.5,46,49,2
BAD QUERY
45.5,43,48,2
44.35,40,49,20
BAD QUERY
45,40,49,5
43,42,44,2
42.6,40,49,5
44,41,46,6
44,41,48,3
44.3636,40,49,22
44.3077,40,49,26
45.3333,42,49,3
44.4634,40,49,41
44.25,42,49,4
BAD QUERY
44.8,40,49,10
BAD QUERY
40,40,40,1
45.75,40,49,12
44.1538,40,49,13
45.3182,40,49,22
BAD QUERY
44.0323,40,49,31
44.5946,40,49,37
45,43,47,3
BAD QUERY
45.8571,42,49,7
44.3333,40,49,3
41,41,41,1
44.9167,40,49,24
BAD QUERY
44.0455,40,49,22
44.5,41,48,2
44.8824,41,49,17
44.6667,41,49,12
45.25,44,47,4
46.6,43,49,5
41,41,41,1
BAD QUERY
44.5,43,46,2
45.8,42,49,5
43.5,40,49,6
44.1176,40,49,17
44.8421,40,49,19
BAD QUERY
43.95,40,49,20
BAD QUERY
42.4,40,47,5
43,43,43,1
43.8,42,49,5
44.25,40,49,20
44.129,40,49,31
44,40,49,5
BAD QUERY
44.0769,40,49,13
44.2593,40,49,27
45.5,41,49,8
BAD QUERY
43.5,41,48,4
45.3182,40,49,22
43.7222,40,49,18
44.2593,40,49,27
BAD QUERY
44.6923,40,49,26
43.6667,40,49,21
44.8421,40,49,19
45.3077,40,49,26
45.0833,41,49,12
43.3333,41,46,3
43.5556,40,49,9
44,43,45,2
44.9167,40,49,12
44.4118,40,49,17
44.3,41,49,10
43.8571,41,49,7
BAD QUERY
43.4286,40,49,7
43.3333,41,48,3
43.6667,40,49,3
45.5,40,49,12
BAD QUERY
45.3333,43,49,3
45.0667,40,49,30
42,41,43,2
45.9,40,49,10
45.1429,42,49,7
45,45,45,2
47,47,47,1
43,43,43,1
44.4091,40,49,44
44.1333,40,49,30
44.4,41,49,25
44.4828,40,49,29
BAD QUERY
44.5581,40,49,43
44.6154,41,49,13
43.4,41,46,5
46.1429,40,49,7
BAD QUERY
46,43,49,4
42.75,41,44,4
NO DATA
44.0345,40,49,29
BAD QUERY
46.4,43,49,5
BAD QUERY
47.5,46,49,4
45.5556,41,49,9
44.4,40,49,20
44.3333,40,48,6
44.5,40,49,24
44.625,40,49,48
44.4167,40,49,12
47,47,47,1
43.7,40,49,10
45.6667,43,48,3
44.875,40,49,16
44.5769,40,49,26
44.6,40,49,40
BAD QUERY
BAD QUERY
43.963,40,49,27
44.4848,40,49,33
43.6667,41,48,3
44.5,40,48,6
BAD QUERY
44.4375,40,49,32
44.5333,41,49,15
45,40,49,5
45.1429,40,49,14
43.6471,41,49,17
44,41,48,3
45.0769,40,49,13
44.0741,40,49,27
44.1905,40,49,21
45.5,41,49,10
44.5484,40,49,31
45.7143,40,49,7
43.9444,41,49,18
BAD QUERY
NO DATA
BAD QUERY
45.375,41,49,8
BAD QUERY
44,41,48,8
44.4348,40,49,23
44.3529,40,49,17
